Textbox29
"Checking Account Statement

COASTAL HEALTH AND REHABILITAT
Facility ID #     NDC # B661
Statement Type: Bank      -0004308866932 
   Sweep Info- Account# : *******4063  Routing# : 026013576
"

bank_post_date,check_number,description,amount,amount1,running_balance,Textbox17,Textbox18
07/01/25,,NATL DATACARE CRT#20701 DIRECT DEPOSIT,30.00,30.00,"1,030.00","26,600.77","26,600.77"
07/02/25,,NDC SWEEP NDC SWEEP SWEEP TO 1503764063,30.00,30.00,"1,000.00","26,600.77","26,600.77"
07/03/25,,NATL DATACARE CRT#20703 DIRECT DEPOSIT,"23,145.00","23,145.00","24,145.00","26,600.77","26,600.77"
07/07/25,,NDC SWEEP NDC SWEEP SWEEP TO 1503764063,"23,145.00","23,145.00","1,000.00","26,600.77","26,600.77"
07/08/25,,NATL DATACARE CRT#3A0298 DEP RECORD #7725D1,"1,051.00","1,051.00","2,051.00","26,600.77","26,600.77"
07/09/25,,NATL DATACARE CRT#20709 DIRECT DEPOSIT,"1,618.60","1,618.60","3,669.60","26,600.77","26,600.77"
07/09/25,,NDC SWEEP NDC SWEEP SWEEP TO 1503764063,"1,051.00","1,051.00","2,618.60","26,600.77","26,600.77"
07/10/25,,NDC SWEEP NDC SWEEP SWEEP TO 1503764063,"1,618.60","1,618.60","1,000.00","26,600.77","26,600.77"
07/16/25,,NATL DATACARE CRT#8F492C WDL RECORD #71625W1,350.17,350.17,"1,350.17","26,600.77","26,600.77"
07/17/25,,NDC SWEEP NDC SWEEP SWEEP TO 1503764063,350.17,350.17,"1,000.00","26,600.77","26,600.77"
07/22/25,,NATL DATACARE CRT#8A963C WDL RECORD #72125W1,181.00,181.00,"1,181.00","26,600.77","26,600.77"
07/22/25,,RFMS SERVICE CHG DBT#I30213 RFMS INVOICE,216.70,216.70,964.30,"26,600.77","26,600.77"
07/23/25,,NATL DATACARE CRT#20723 DIRECT DEPOSIT,225.00,225.00,"1,189.30","26,600.77","26,600.77"
07/24/25,,NDC SWEEP NDC SWEEP SWEEP TO 1503764063,189.30,189.30,"1,000.00","26,600.77","26,600.77"

